"dpp_id","dpp_shelf_pos","dpp_shelf_col_pos","dpp_rfid_cd","dpp_isbn","dpp_product_name","dpp_scaner_name"
1,1,1,"E2806810000000391B7F69AC","4048708244",ビブリア古書堂の事件手帖　２　―栞子さん(1.1),TECRFIDSCANNERUSB5
2,1,2,"E2806810000000391B7FA353","4048914278",ビブリア古書堂の事件手帖　４(1.2),TECRFIDSCANNERUSB5
3,1,3,"E2806810000000391B7FA4C4","4048866583",ビブリア古書堂の事件手帖　３(1.3),TECRFIDSCANNERUSB5
4,1,4,"E2806810000000391B7FA508","4062771306",新装版　浪花少年探偵団(1.4),TECRFIDSCANNERUSB5
5,2,1,"E2806810000000391B7FA30E","408876143X",リアル　　　１(2.1),TECRFIDSCANNERUSB5
6,2,2,"E2806810000000391B7FA333","4088765117",リアル　　　３(2.2),TECRFIDSCANNERUSB5
7,2,3,"E2806810000000391B7FA321","4088792327",リアル　　１１(2.3),TECRFIDSCANNERUSB5
8,2,4,"E2806810000000391B7FA490","4093033161",ねこの健康事典　子猫から高齢猫まで一生安(2.4),TECRFIDSCANNERUSB5
9,3,1,"E2806810000000391B7FA344","4062769778",カラスの親指(3.1),TECRFIDSCANNERUSB5
10,3,2,"E2806810000000391B7FA4F0","4087465616",路傍(3.2),TECRFIDSCANNERUSB5
11,3,3,"E2806810000000391B7FA37C","4062648547",狐罠(3.3),TECRFIDSCANNERUSB5
12,3,4,"30838EE09E6080025B32F22D","4062605597",ナニワ金融道　　　４(3.4),TECRFIDSCANNERUSB5
13,4,1,"30838EE09E6080025B32F21C","4163742204",日本復興計画(4.1),TECRFIDSCANNERUSB5
14,4,2,"30838EE09E6080025B32F234","4532319099",日経業界地図　２０１４年版(4.2),TECRFIDSCANNERUSB5
15,4,3,"30838EE09E6080025B32F22A","4891005157",Ｗｅｂアプリケーション構築技法－ＡＳＰ．(4.3),TECRFIDSCANNERUSB5
16,4,4,"30838EE09E6080025B32F224","4774148911",Ｊｅｎｋｉｎｓ実践入門～ビルド・テスト・(4.4),TECRFIDSCANNERUSB5
